SOR,ID,KATEGÓRIA,MODUL,VÁLTOZAT,HELY,MEZŐ,PLATFORM,JELENLEGI SZÖVEG,JAVÍTOTT SZÖVEG,MEGJEGYZÉS,FÁJL
11,01.SIGNAL-A.conjunction.instruction.mobile,1 FELADAT,01 SIGNAL,A,conjunction,instrukció,mobil,"Most a cél a NARANCSSÁRGA KOCKA. A tömbben narancssárga gömbök és kék kockák is vannak: egyik jellemző önmagában nem elég, csak az a cél, amelyik egyszerre narancssárga ÉS kocka. Ha megtaláltad, koppints rá. A próbák felében nincs cél — akkor a képernyő alján a NINCS CÉL gombot nyomd meg.",,,packages/client/src/modules/
12,01.SIGNAL-A.conjunction.hint.vr,1 FELADAT,01 SIGNAL,A,conjunction,IRÁNYÍTÁS sor,VR,Sugár a célra + RAVASZ · nincs cél → a NINCS CÉL gombra mutatva RAVASZ,,,packages/client/src/modules/
13,01.SIGNAL-A.conjunction.hint.desktop,1 FELADAT,01 SIGNAL,A,conjunction,IRÁNYÍTÁS sor,asztali,Kattints a célra · nincs cél → NINCS CÉL gomb,,,packages/client/src/modules/
14,01.SIGNAL-A.conjunction.hint.mobile,1 FELADAT,01 SIGNAL,A,conjunction,IRÁNYÍTÁS sor,mobil,Koppints a célra · nincs cél → NINCS CÉL gomb a képernyő alján,,,packages/client/src/modules/
15,01.SIGNAL-A.mot.cim,1 FELADAT,01 SIGNAL,A,mot,blokk címe,mind,KÖVETÉS,,,packages/client/src/modules/
16,01.SIGNAL-A.mot.instruction.vr,1 FELADAT,01 SIGNAL,A,mot,instrukció,VR,"Néhány gömb felvillan — ezeket jegyezd meg. Utána minden gömb egyformává válik, és mozogni kezd. Kövesd szemmel a megjegyzetteket. Amikor megállnak, mutass rájuk egyenként a sugárral és húzd meg a ravaszt, majd a KÉSZ gombra mutatva zárd le a próbát.",,,packages/client/src/modules/
17,01.SIGNAL-A.mot.instruction.desktop,1 FELADAT,01 SIGNAL,A,mot,instrukció,asztali,"Néhány gömb felvillan — ezeket jegyezd meg. Utána minden gömb egyformává válik, és mozogni kezd. Kövesd szemmel a megjegyzetteket. Amikor megállnak, kattints rájuk egyenként, majd a KÉSZ gombra.",,,packages/client/src/modules/
18,01.SIGNAL-A.mot.instruction.mobile,1 FELADAT,01 SIGNAL,A,mot,instrukció,mobil,"Néhány gömb felvillan — ezeket jegyezd meg. Utána minden gömb egyformává válik, és mozogni kezd. Kövesd szemmel a megjegyzetteket. Amikor megállnak, koppints rájuk egyenként, majd a képernyő alján a KÉSZ gombra.",,,packages/client/src/modules/
19,01.SIGNAL-A.mot.hint.vr,1 FELADAT,01 SIGNAL,A,mot,IRÁNYÍTÁS sor,VR,"Sugár + RAVASZ a felvillant gömbökre, majd KÉSZ.",,,packages/client/src/modules/
20,01.SIGNAL-A.mot.hint.desktop,1 FELADAT,01 SIGNAL,A,mot,IRÁNYÍTÁS sor,asztali,"Kattints a felvillant gömbökre, majd a KÉSZ gombra.",,,packages/client/src/modules/
21,01.SIGNAL-A.mot.hint.mobile,1 FELADAT,01 SIGNAL,A,mot,IRÁNYÍTÁS sor,mobil,"Koppints a felvillant gömbökre, majd a KÉSZ gombra.",,,packages/client/src/modules/
22,01.SIGNAL-A.change.cim,1 FELADAT,01 SIGNAL,A,change,blokk címe,mind,VÁLTOZÁS,,,packages/client/src/modules/
23,01.SIGNAL-A.change.instruction.vr,1 FELADAT,01 SIGNAL,A,change,instrukció,VR,"A kép villogni fog, és közben egyetlen objektum folyamatosan változik: a színe, a mérete vagy a helye. Találd meg, melyik az, mutass rá a sugárral, és húzd meg a ravaszt. Nem kell sietned — itt a pontosság számít.",,,packages/client/src/modules/
24,01.SIGNAL-A.change.instruction.desktop,1 FELADAT,01 SIGNAL,A,change,instrukció,asztali,"A kép villogni fog, és közben egyetlen objektum folyamatosan változik: a színe, a mérete vagy a helye. Találd meg, melyik az, és kattints rá. Nem kell sietned — itt a pontosság számít.",,,packages/client/src/modules/
25,01.SIGNAL-A.change.instruction.mobile,1 FELADAT,01 SIGNAL,A,change,instrukció,mobil,"A kép villogni fog, és közben egyetlen objektum folyamatosan változik: a színe, a mérete vagy a helye. Találd meg, melyik az, és koppints rá. Nem kell sietned — itt a pontosság számít.",,,packages/client/src/modules/
26,01.SIGNAL-A.change.hint.vr,1 FELADAT,01 SIGNAL,A,change,IRÁNYÍTÁS sor,VR,Sugár a változó objektumra + RAVASZ.,,,packages/client/src/modules/
27,01.SIGNAL-A.change.hint.desktop,1 FELADAT,01 SIGNAL,A,change,IRÁNYÍTÁS sor,asztali,Kattints a változó objektumra.,,,packages/client/src/modules/
28,01.SIGNAL-A.change.hint.mobile,1 FELADAT,01 SIGNAL,A,change,IRÁNYÍTÁS sor,mobil,Koppints a változó objektumra.,,,packages/client/src/modules/
29,01.SIGNAL-A.peripheral.cim,1 FELADAT,01 SIGNAL,A,peripheral,blokk címe,mind,PERIFÉRIA,,,packages/client/src/modules/
30,01.SIGNAL-A.peripheral.instruction.vr,1 FELADAT,01 SIGNAL,A,peripheral,instrukció,VR,"Két dolgod lesz egyszerre. Középen egy gyűrű sodródik lassan: tartsd rajta a kontroller sugarát végig. Közben a látómeződ szélén időnként felvillan valami — amint észreveszed, nyomd meg a MARKOLATGOMBOT (grip), bármelyik kézzel, a lehető leggyorsabban. Ne fordítsd oda a fejed: a szemed sarkából kell észrevenned. Néha nem villan semmi — akkor ne nyomj semmit.",,,packages/client/src/modules/
31,01.SIGNAL-A.peripheral.instruction.desktop,1 FELADAT,01 SIGNAL,A,peripheral,instrukció,asztali,"Két dolgod lesz egyszerre. Középen egy gyűrű sodródik lassan: kövesd az egérkurzorral végig. Közben a képernyő szélén időnként felvillan valami — amint észreveszed, nyomd meg a SZÓKÖZT a lehető leggyorsabban. Ne vidd oda a tekinteted: a szemed sarkából kell észrevenned. Néha nem villan semmi — akkor ne nyomj semmit.",,,packages/client/src/modules/
32,01.SIGNAL-A.peripheral.instruction.mobile,1 FELADAT,01 SIGNAL,A,peripheral,instrukció,mobil,"Két dolgod lesz egyszerre. Középen egy gyűrű sodródik lassan: tartsd rajta az egyik ujjad végig. Közben a képernyő szélén időnként felvillan valami — amint észreveszed, a másik kezeddel nyomd meg a képernyő alján a VILLANÁS gombot. Ne vidd oda a tekinteted: a szemed sarkából kell észrevenned. Néha nem villan semmi — akkor ne nyomj semmit.",,,packages/client/src/modules/
33,01.SIGNAL-A.peripheral.hint.vr,1 FELADAT,01 SIGNAL,A,peripheral,IRÁNYÍTÁS sor,VR,Sugár a középső gyűrűn · villanás → MARKOLATGOMB (grip),,,packages/client/src/modules/
34,01.SIGNAL-A.peripheral.hint.desktop,1 FELADAT,01 SIGNAL,A,peripheral,IRÁNYÍTÁS sor,asztali,Egérkurzor a gyűrűn · villanás → SZÓKÖZ,,,packages/client/src/modules/
35,01.SIGNAL-A.peripheral.hint.mobile,1 FELADAT,01 SIGNAL,A,peripheral,IRÁNYÍTÁS sor,mobil,Egyik ujj a gyűrűn · villanás → VILLANÁS gomb a másik kézzel,,,packages/client/src/modules/
36,01.SIGNAL-B.depth.cim,1 FELADAT,01 SIGNAL,B,depth,blokk címe,mind,MÉLYSÉGI KERESÉS,,,packages/client/src/modules/
37,01.SIGNAL-B.depth.instruction.vr,1 FELADAT,01 SIGNAL,B,depth,instrukció,VR,"A cél a NARANCSSÁRGA KOCKA, narancssárga gömbök és kék kockák között. Az objektumok most három különböző TÁVOLSÁGBAN lebegnek. Ha megtaláltad a célt, mutass rá a sugárral, és húzd meg a ravaszt; ha nincs cél, nyomd meg a MARKOLATGOMBOT (grip). A próbák felében a felső felirat megmondja, melyik rétegben van a cél — ilyenkor elég ott keresned.",,,packages/client/src/modules/
38,01.SIGNAL-B.depth.instruction.desktop,1 FELADAT,01 SIGNAL,B,depth,instrukció,asztali,"A cél a NARANCSSÁRGA KOCKA, narancssárga gömbök és kék kockák között. Az objektumok most három különböző TÁVOLSÁGBAN lebegnek. Ha megtaláltad a célt, kattints rá; ha nincs cél, kattints a NINCS CÉL gombra. A próbák felében a felső felirat megmondja, melyik rétegben van a cél — ilyenkor elég ott keresned.",,,packages/client/src/modules/
39,01.SIGNAL-B.depth.hint.vr,1 FELADAT,01 SIGNAL,B,depth,IRÁNYÍTÁS sor,VR,Sugár a célra + RAVASZ · nincs cél → MARKOLATGOMB (grip) · a felső felirat mondja a réteget,,,packages/client/src/modules/
40,01.SIGNAL-B.depth.hint.desktop,1 FELADAT,01 SIGNAL,B,depth,IRÁNYÍTÁS sor,asztali,Kattints a célra · nincs cél → NINCS CÉL gomb,,,packages/client/src/modules/
41,01.SIGNAL-B.surround.cim,1 FELADAT,01 SIGNAL,B,surround,blokk címe,mind,KÖRKÖRÖS KERESÉS,,,packages/client/src/modules/
42,01.SIGNAL-B.surround.instruction.vr,1 FELADAT,01 SIGNAL,B,surround,instrukció,VR,"Ugyanaz a cél, de az objektumok most KÖRÜLÖTTED vannak — teljes körben, akár a hátad mögött is. Fordulj meg nyugodtan, amerre kell: amit nem nézel, azt nem találod meg. Ha megvan a cél, sugár rá és ravasz; ha nincs, markolatgomb.",,,packages/client/src/modules/
43,01.SIGNAL-B.surround.instruction.desktop,1 FELADAT,01 SIGNAL,B,surround,instrukció,asztali,"Ugyanaz a cél, ugyanolyan három rétegben. Ha megtaláltad, kattints rá; ha nincs cél, kattints a NINCS CÉL gombra. Ez a rész a headsetben teljes körben zajlik — képernyőn a tömb előtted marad.",,,packages/client/src/modules/
44,01.SIGNAL-B.surround.hint.vr,1 FELADAT,01 SIGNAL,B,surround,IRÁNYÍTÁS sor,VR,"Fordulj meg, amerre kell · sugár a célra + RAVASZ · nincs cél → MARKOLATGOMB",,,packages/client/src/modules/
45,01.SIGNAL-B.surround.hint.desktop,1 FELADAT,01 SIGNAL,B,surround,IRÁNYÍTÁS sor,asztali,Kattints a célra · nincs cél → NINCS CÉL gomb,,,packages/client/src/modules/
46,01.SIGNAL-B.occlusion.cim,1 FELADAT,01 SIGNAL,B,occlusion,blokk címe,mind,KÖVETÉS TAKARÁSSAL,,,packages/client/src/modules/
47,01.SIGNAL-B.occlusion.instruction.vr,1 FELADAT,01 SIGNAL,B,occlusion,instrukció,VR,"Néhány gömb felvillan — ezeket jegyezd meg és kövesd szemmel. Mozgás közben a gömbök MÉLYSÉGBEN is mozognak, ezért néha eltűnnek egymás mögött; attól még kövesd őket. Amikor megállnak, mutass rájuk a sugárral és húzd meg a ravaszt, majd KÉSZ.",,,packages/client/src/modules/
48,01.SIGNAL-B.occlusion.instruction.desktop,1 FELADAT,01 SIGNAL,B,occlusion,instrukció,asztali,"Néhány gömb felvillan — ezeket jegyezd meg és kövesd szemmel. Mozgás közben a gömbök MÉLYSÉGBEN is mozognak, ezért néha eltűnnek egymás mögött; attól még kövesd őket. Amikor megállnak, kattints rájuk egyenként, majd a KÉSZ gombra.",,,packages/client/src/modules/
49,01.SIGNAL-B.occlusion.hint.vr,1 FELADAT,01 SIGNAL,B,occlusion,IRÁNYÍTÁS sor,VR,"Sugár + RAVASZ a felvillant gömbökre, majd KÉSZ.",,,packages/client/src/modules/
50,01.SIGNAL-B.occlusion.hint.desktop,1 FELADAT,01 SIGNAL,B,occlusion,IRÁNYÍTÁS sor,asztali,"Kattints a felvillant gömbökre, majd KÉSZ.",,,packages/client/src/modules/
51,01.SIGNAL-B.depthchange.cim,1 FELADAT,01 SIGNAL,B,depthchange,blokk címe,mind,MÉLYSÉGI VÁLTOZÁS,,,packages/client/src/modules/
52,01.SIGNAL-B.depthchange.instruction.vr,1 FELADAT,01 SIGNAL,B,depthchange,instrukció,VR,"A kép villogni fog, és közben egyetlen objektum folyamatosan változik. Most a változás az is lehet, hogy KÖZELEBB vagy TÁVOLABB kerül — nem csak a színe vagy a mérete. Találd meg, mutass rá a sugárral, és húzd meg a ravaszt.",,,packages/client/src/modules/
53,01.SIGNAL-B.depthchange.instruction.desktop,1 FELADAT,01 SIGNAL,B,depthchange,instrukció,asztali,"A kép villogni fog, és közben egyetlen objektum folyamatosan változik. Most a változás az is lehet, hogy KÖZELEBB vagy TÁVOLABB kerül — nem csak a színe vagy a mérete. Találd meg, és kattints rá.",,,packages/client/src/modules/
54,01.SIGNAL-B.depthchange.hint.vr,1 FELADAT,01 SIGNAL,B,depthchange,IRÁNYÍTÁS sor,VR,Sugár a változó objektumra + RAVASZ.,,,packages/client/src/modules/
55,01.SIGNAL-B.depthchange.hint.desktop,1 FELADAT,01 SIGNAL,B,depthchange,IRÁNYÍTÁS sor,asztali,Kattints a változó objektumra.,,,packages/client/src/modules/
56,03.NAV.tour.cim,1 FELADAT,03 NAV,-,tour,blokk címe,mind,BEJÁRÁS,,,packages/client/src/modules/
57,03.NAV.tour.instruction.vr,1 FELADAT,03 NAV,-,tour,instrukció,VR,"A rendszer végigvisz egy útvonalon, több megállóval. Nem kell irányítanod semmit és gombot sem kell nyomnod: a dolgod az, hogy MINDEN MEGÁLLÓNÁL NÉZZ KÖRBE, és jegyezd meg, melyik tereptárgy merre van — a nevüket ki is írom. Ezt az útvonalat kell majd egyedül végigjárnod, utána pedig irányokat becsülnöd, ezért most a körülnézés a feladat.",,,packages/client/src/modules/
58,03.NAV.tour.instruction.desktop,1 FELADAT,03 NAV,-,tour,instrukció,asztali,"A rendszer végigvisz egy útvonalon, több megállóval. A haladás automatikus; a dolgod az, hogy MINDEN MEGÁLLÓNÁL NÉZZ KÖRBE — az egér húzásával fordulhatsz —, és jegyezd meg, melyik tereptárgy merre van. A nevüket ki is írom. Ezt az útvonalat kell majd egyedül végigjárnod, utána pedig irányokat becsülnöd, ezért most a körülnézés a feladat.",,,packages/client/src/modules/
59,03.NAV.tour.instruction.mobile,1 FELADAT,03 NAV,-,tour,instrukció,mobil,"A rendszer végigvisz egy útvonalon, több megállóval. A haladás automatikus; a dolgod az, hogy MINDEN MEGÁLLÓNÁL NÉZZ KÖRBE — az ujjad húzásával fordulhatsz —, és jegyezd meg, melyik tereptárgy merre van. A nevüket ki is írom. Ezt az útvonalat kell majd egyedül végigjárnod, utána pedig irányokat becsülnöd, ezért most a körülnézés a feladat.",,,packages/client/src/modules/
60,03.NAV.tour.hint.vr,1 FELADAT,03 NAV,-,tour,IRÁNYÍTÁS sor,VR,Nézz körül szabadon. A haladás automatikus.,,,packages/client/src/modules/
61,03.NAV.tour.hint.desktop,1 FELADAT,03 NAV,-,tour,IRÁNYÍTÁS sor,asztali,Húzd az egeret a körülnézéshez. A haladás automatikus.,,,packages/client/src/modules/
62,03.NAV.tour.hint.mobile,1 FELADAT,03 NAV,-,tour,IRÁNYÍTÁS sor,mobil,Húzd az ujjad a képernyőn a körülnézéshez. A haladás automatikus.,,,packages/client/src/modules/
63,03.NAV.retrace.cim,1 FELADAT,03 NAV,-,retrace,blokk címe,mind,ÚJRAJÁRÁS,,,packages/client/src/modules/
64,03.NAV.retrace.instruction.vr,1 FELADAT,03 NAV,-,retrace,instrukció,VR,"Most neked kell végigmenned ugyanazon az útvonalon. Minden megállónál nyilak mutatják, merre lehet továbbmenni: mutass a sugárral arra, amerre az útvonal vezetett, és húzd meg a ravaszt. Másodszor visszafelé is meg kell tenned.",,,packages/client/src/modules/
65,03.NAV.retrace.instruction.desktop,1 FELADAT,03 NAV,-,retrace,instrukció,asztali,"Most neked kell végigmenned ugyanazon az útvonalon. Minden megállónál nyilak mutatják, merre lehet továbbmenni: nézz körül az egér húzásával, és kattints arra a nyílra, amerre az útvonal vezetett. Másodszor visszafelé is meg kell tenned.",,,packages/client/src/modules/
66,03.NAV.retrace.instruction.mobile,1 FELADAT,03 NAV,-,retrace,instrukció,mobil,"Most neked kell végigmenned ugyanazon az útvonalon. Minden megállónál nyilak mutatják, merre lehet továbbmenni: nézz körül az ujjad húzásával, és koppints arra a nyílra, amerre az útvonal vezetett. Másodszor visszafelé is meg kell tenned.",,,packages/client/src/modules/
67,03.NAV.retrace.hint.vr,1 FELADAT,03 NAV,-,retrace,IRÁNYÍTÁS sor,VR,"Sugár a nyílra + RAVASZ, amerre az útvonal vezetett.",,,packages/client/src/modules/
68,03.NAV.retrace.hint.desktop,1 FELADAT,03 NAV,-,retrace,IRÁNYÍTÁS sor,asztali,"Húzással nézz körül, majd kattints a nyílra, amerre az útvonal vezetett.",,,packages/client/src/modules/
69,03.NAV.retrace.hint.mobile,1 FELADAT,03 NAV,-,retrace,IRÁNYÍTÁS sor,mobil,"Húzással nézz körül, majd koppints a nyílra, amerre az útvonal vezetett.",,,packages/client/src/modules/
70,03.NAV.jrd.cim,1 FELADAT,03 NAV,-,jrd,blokk címe,mind,IRÁNYBECSLÉS,,,packages/client/src/modules/
71,03.NAV.jrd.instruction.vr,1 FELADAT,03 NAV,-,jrd,instrukció,VR,"Sűrű köd ereszkedik le, nem látsz semmit. Egy felirat megmondja, hol állsz és melyik tereptárgy felé nézel, neked pedig meg kell mutatnod, merre van egy HARMADIK tereptárgy: fordulj arra, irányítsd oda a kontroller sugarát, és húzd meg a ravaszt. Csak a fejedben lévő térképre támaszkodhatsz.",,,packages/client/src/modules/
72,03.NAV.jrd.instruction.desktop,1 FELADAT,03 NAV,-,jrd,instrukció,asztali,"Sűrű köd ereszkedik le, nem látsz semmit. Egy felirat megmondja, hol állsz és melyik tereptárgy felé nézel, neked pedig meg kell mutatnod, merre van egy HARMADIK tereptárgy: fordulj arra az egér húzásával, és kattints abba az irányba. Csak a fejedben lévő térképre támaszkodhatsz.",,,packages/client/src/modules/
73,03.NAV.jrd.instruction.mobile,1 FELADAT,03 NAV,-,jrd,instrukció,mobil,"Sűrű köd ereszkedik le, nem látsz semmit. Egy felirat megmondja, hol állsz és melyik tereptárgy felé nézel, neked pedig meg kell mutatnod, merre van egy HARMADIK tereptárgy: fordulj arra az ujjad húzásával, úgy, hogy a célkereszt oda mutasson, majd nyomd meg az ERRE VAN gombot. Csak a fejedben lévő térképre támaszkodhatsz.",,,packages/client/src/modules/
74,03.NAV.jrd.hint.vr,1 FELADAT,03 NAV,-,jrd,IRÁNYÍTÁS sor,VR,"Fordulj a becsült irányba, sugár arra + RAVASZ.",,,packages/client/src/modules/
75,03.NAV.jrd.hint.desktop,1 FELADAT,03 NAV,-,jrd,IRÁNYÍTÁS sor,asztali,"Húzással fordulj a becsült irányba, majd kattints abba az irányba.",,,packages/client/src/modules/
76,03.NAV.jrd.hint.mobile,1 FELADAT,03 NAV,-,jrd,IRÁNYÍTÁS sor,mobil,"Húzással fordulj a becsült irányba (célkereszt), majd ERRE VAN gomb.",,,packages/client/src/modules/
77,03.NAV.triangle.cim,1 FELADAT,03 NAV,-,triangle,blokk címe,mind,ÚTVONAL-INTEGRÁCIÓ,,,packages/client/src/modules/
78,03.NAV.triangle.instruction.vr,1 FELADAT,03 NAV,-,triangle,instrukció,VR,"Üres, jellegtelen terep, tereptárgyak nélkül. A rendszer végigvisz két szakaszon, egy kanyarral. A végén mutasd meg, merre van a KIINDULÓPONT — fordulj arra, sugár és ravasz —, majd a csúszkán állítsd be, milyen messze lehet, és erősítsd meg.",,,packages/client/src/modules/
79,03.NAV.triangle.instruction.desktop,1 FELADAT,03 NAV,-,triangle,instrukció,asztali,"Üres, jellegtelen terep, tereptárgyak nélkül. A rendszer végigvisz két szakaszon, egy kanyarral. A végén mutasd meg, merre van a KIINDULÓPONT — fordulj arra az egér húzásával, és kattints abba az irányba —, majd a csúszkán állítsd be, milyen messze lehet, és kattints a MEHET gombra.",,,packages/client/src/modules/
80,03.NAV.triangle.instruction.mobile,1 FELADAT,03 NAV,-,triangle,instrukció,mobil,"Üres, jellegtelen terep, tereptárgyak nélkül. A rendszer végigvisz két szakaszon, egy kanyarral. A végén mutasd meg, merre van a KIINDULÓPONT — fordulj arra az ujjad húzásával, és nyomd meg az ERRE VAN gombot —, majd a csúszkán állítsd be, milyen messze lehet, és erősítsd meg.",,,packages/client/src/modules/
81,03.NAV.triangle.hint.vr,1 FELADAT,03 NAV,-,triangle,IRÁNYÍTÁS sor,VR,"Fordulj a kiindulópont felé, sugár + RAVASZ · majd csúszka és MEHET.",,,packages/client/src/modules/
82,03.NAV.triangle.hint.desktop,1 FELADAT,03 NAV,-,triangle,IRÁNYÍTÁS sor,asztali,"Fordulj a kiindulópont felé, kattints arra · majd csúszka és MEHET.",,,packages/client/src/modules/
83,03.NAV.triangle.hint.mobile,1 FELADAT,03 NAV,-,triangle,IRÁNYÍTÁS sor,mobil,"Fordulj a kiindulópont felé, ERRE VAN gomb · majd csúszka és erősítsd meg.",,,packages/client/src/modules/
84,03.NAV.map.cim,1 FELADAT,03 NAV,-,map,blokk címe,mind,TÉRKÉP,,,packages/client/src/modules/
85,03.NAV.map.instruction.vr,1 FELADAT,03 NAV,-,map,instrukció,VR,"Kapsz egy felülnézeti térképet, amelyen a megállók látszanak. A kérdés: hol vagy rajta, és merre nézel? Mutass a sugárral a térkép helyes pontjára, és húzd meg a ravaszt. A térkép mindig északra van tájolva — te nem feltétlenül.",,,packages/client/src/modules/
86,03.NAV.map.instruction.desktop,1 FELADAT,03 NAV,-,map,instrukció,asztali,"Kapsz egy felülnézeti térképet, amelyen a megállók látszanak. A kérdés: hol vagy rajta, és merre nézel? Kattints a térkép helyes pontjára. A térkép mindig északra van tájolva — te nem feltétlenül.",,,packages/client/src/modules/
87,03.NAV.map.instruction.mobile,1 FELADAT,03 NAV,-,map,instrukció,mobil,"Kapsz egy felülnézeti térképet, amelyen a megállók látszanak. A kérdés: hol vagy rajta, és merre nézel? Koppints a térkép helyes pontjára. A térkép mindig északra van tájolva — te nem feltétlenül.",,,packages/client/src/modules/
88,03.NAV.map.hint.vr,1 FELADAT,03 NAV,-,map,IRÁNYÍTÁS sor,VR,Sugár a térkép helyes pontjára + RAVASZ.,,,packages/client/src/modules/
89,03.NAV.map.hint.desktop,1 FELADAT,03 NAV,-,map,IRÁNYÍTÁS sor,asztali,Kattints a térkép helyes pontjára.,,,packages/client/src/modules/
90,03.NAV.map.hint.mobile,1 FELADAT,03 NAV,-,map,IRÁNYÍTÁS sor,mobil,Koppints a térkép helyes pontjára.,,,packages/client/src/modules/
91,04.REACT-A.simple.cim,1 FELADAT,04 REACT,A,simple,blokk címe,mind,EGYSZERŰ REAKCIÓ,,,packages/client/src/modules/
92,04.REACT-A.simple.instruction.vr,1 FELADAT,04 REACT,A,simple,instrukció,VR,"Előtted egyetlen gömb lebeg. Amint felvillan, húzd meg a ravaszt — bármelyik kézzel — a lehető leggyorsabban. Ne találgass: ha a villanás előtt húzod meg, az hibának számít. A várakozás szándékosan kiszámíthatatlan, hol rövid, hol hosszú.",,,packages/client/src/modules/
93,04.REACT-A.simple.instruction.desktop,1 FELADAT,04 REACT,A,simple,instrukció,asztali,"Előtted egyetlen gömb lebeg. Amint felvillan, nyomd meg a SZÓKÖZT (vagy kattints) a lehető leggyorsabban. Ne találgass: ha a villanás előtt nyomsz, az hibának számít. A várakozás szándékosan kiszámíthatatlan, hol rövid, hol hosszú.",,,packages/client/src/modules/
94,04.REACT-A.simple.instruction.mobile,1 FELADAT,04 REACT,A,simple,instrukció,mobil,"Előtted egyetlen gömb lebeg. Amint felvillan, koppints bárhol a képernyőn a lehető leggyorsabban. Ne találgass: ha a villanás előtt koppintasz, az hibának számít. A várakozás szándékosan kiszámíthatatlan, hol rövid, hol hosszú.",,,packages/client/src/modules/
95,04.REACT-A.simple.hint.vr,1 FELADAT,04 REACT,A,simple,IRÁNYÍTÁS sor,VR,"Bármelyik RAVASZ, amint a gömb felvillan.",,,packages/client/src/modules/
96,04.REACT-A.simple.hint.desktop,1 FELADAT,04 REACT,A,simple,IRÁNYÍTÁS sor,asztali,"SZÓKÖZ vagy kattintás, amint a gömb felvillan.",,,packages/client/src/modules/
97,04.REACT-A.simple.hint.mobile,1 FELADAT,04 REACT,A,simple,IRÁNYÍTÁS sor,mobil,"Koppints bárhol a képernyőn, amint a gömb felvillan.",,,packages/client/src/modules/
98,04.REACT-A.choice.cim,1 FELADAT,04 REACT,A,choice,blokk címe,mind,VÁLASZTÁSOS REAKCIÓ,,,packages/client/src/modules/
99,04.REACT-A.choice.instruction.vr,1 FELADAT,04 REACT,A,choice,instrukció,VR,"A gömb PIROS vagy KÉK színben villan fel. Ha PIROS, húzd meg a BAL ravaszt; ha KÉK, a JOBB ravaszt. A jó válasz fontosabb, mint a gyors — de mindkettőt mérjük.",,,packages/client/src/modules/
